Ingredient,Frequency,Percentage
"maize meal",1,0.06%
"beef 7.5%",1,0.06%
"dehydrated peas",1,0.06%
"dehydrated pork proteins",1,0.06%
"macroalgae 0.36%",1,0.06%
"dried chicory root concentrate 0.2%",1,0.06%
"spirulina 0.1%.",1,0.06%
"glucosamine-hci 0.01%",1,0.06%
"whole flaxseed",1,0.06%
"british beef and bone",1,0.06%
"british beef heart",1,0.06%
"british beef kidney",1,0.06%
"british beef liver",1,0.06%
"sea kelp powder",1,0.06%
"alfalfa powder",1,0.06%
"dried brewer’s yeast",1,0.06%
"freshly prepared british chicken 80%",1,0.06%
"potato fibre 3%",1,0.06%
"prebiotic fos 1730 mg/kg",1,0.06%
"yeast extracts",1,0.06%
"echinacea",1,0.06%
"mango",1,0.06%
"plum",1,0.06%
"meat meals 30%",1,0.06%
"carrot pomace",1,0.06%
"fresh ostrich deboned",1,0.06%
"45.4% fresh fish",1,0.06%
"20.8% fresh chicken",1,0.06%
"20.5% rice",1,0.06%
"2.5% pumpkin",1,0.06%
"1.45% pear",1,0.06%
"1% pineapple",1,0.06%
"0.25% coriander",1,0.06%
"selenium yeast",1,0.06%
"min 4% vegetables",1,0.06%
"46% veal heart and liver",1,0.06%
"28.5% meat stock",1,0.06%
"20% duck hearts and liver",1,0.06%
"0.2% wild herbs",1,0.06%
"0.1% powdered egg shell.",1,0.06%
"dried ground beef",1,0.06%
"dried poultry liver",1,0.06%
"maize germs",1,0.06%
"dried moor",1,0.06%
"dried herbs yucca schidigera",1,0.06%
"hydrolysed collagen 0.84%",1,0.06%
"poultry meal 35.0%",1,0.06%
"white rice 14.0%",1,0.06%
"mannan oligosaccharides 0.3%",1,0.06%
"chicken 81%",1,0.06%
"turmeric powder",1,0.06%
"british organic free range chicken meat with bone 55%",1,0.06%
"seasonal vegetables 30%",1,0.06%
"thyme 0.02%",1,0.06%
"cotswold joint care.",1,0.06%
"dried brewer’s yeasts",1,0.06%
"dicalcium phosphate 1.5%.",1,0.06%
"psyllium husks and and seeds",1,0.06%
"fresh potato",1,0.06%
"fresh sweet potato",1,0.06%
"fresh peas",1,0.06%
"fresh pear.",1,0.06%
"salmon haddock & blue whiting 60%",1,0.06%
"dehydrated soya protein",1,0.06%
"36% lamb tripe",1,0.06%
"34% chicken meat with bone",1,0.06%
"19.5% seasonal veg",1,0.06%
"5% lamb/beef kidney",1,0.06%
"0.5% extra virgin olive oil.",1,0.06%
"beef bones",1,0.06%
"50% duck",1,0.06%
"dried blackberry",1,0.06%
"potato powder",1,0.06%
"dried salmon meat",1,0.06%
"hermetia illucens grubs 40%",1,0.06%
"wheat fibre",1,0.06%
"30% pork",1,0.06%
"prebiotic manna-oligosaccharides",1,0.06%
"animal protein hydrolysate",1,0.06%
"vitamins and trace elements",1,0.06%
"lysine",1,0.06%
"threonine",1,0.06%
"tryptophan",1,0.06%
"65% turkey with bone",1,0.06%
"15% veg and superfoods",1,0.06%
"fresh chicken. turkey: dried turkey protein",1,0.06%
"turkey digest. poultry fat",1,0.06%
"30% from plant sources & minerals: pea starch",1,0.06%
"reindeer",1,0.06%
"dried chicken meat 33%",1,0.06%
"potato flour 32%",1,0.06%
"cold pressed blended vegetable oil 5%",1,0.06%
"chicken 78%",1,0.06%
"dry ground beef",1,0.06%
"duck meal rice",1,0.06%
"hydrolysed duck",1,0.06%
"free range chicken 41.8%",1,0.06%
"british beef 37.6%",1,0.06%
"organic broccoli 5.5%",1,0.06%
"organic kale 2.35%",1,0.06%
"whole blackberries 1.8%",1,0.06%
"organic british egg 1.8%",1,0.06%
"wheatgrass 0.77%",1,0.06%
"sustainably hand harvested organic scottish seaweed 0.7%",1,0.06%
"organic pumpkin seeds 0.31%",1,0.06%
"organic hemp seeds 0.31%",1,0.06%
"nettles 0.1%",1,0.06%
"pure yorkshire sea salt 0.1%.",1,0.06%
"37% insect",1,0.06%
"16% potato",1,0.06%
"44% chicken & salmon",1,0.06%
"organic pork organic beef",1,0.06%
"organic fish",1,0.06%
"organic vegetables",1,0.06%
"organic spirulina",1,0.06%
"turkey meal 23.3%",1,0.06%
"turkey fat 3%",1,0.06%
"by products of vegetable origin",1,0.06%
"meats and animal by products",1,0.06%
"fish and fish by products.",1,0.06%
"e1705 enterococcus faecium cernelle 68 sf68 ncimb 10415.",1,0.06%
"salmon 55%",1,0.06%
"80% game",1,0.06%
"10% potatoes",1,0.06%
"5% parsnips",1,0.06%
"3% blueberries",1,0.06%
"2% eggshell powder.",1,0.06%
"dried ground turkey",1,0.06%
"turkey hydrolysate",1,0.06%
"inactivated yeast saccharomyces cerevisiae",1,0.06%
"lutein",1,0.06%
"fresh fish",1,0.06%
"dehydrated chicken protein 34%",1,0.06%
"baldo rice 22%",1,0.06%
"anchovy meal 5%",1,0.06%
"anchovy oil",1,0.06%
"hydrolized chicken liver",1,0.06%
"nucleotide yeast protein",1,0.06%
"prebiotic mannan oligo saccarides",1,0.06%
"marigold powder",1,0.06%
"phenomind 0.024%.",1,0.06%
"yucca schidgera",1,0.06%
"pomegranete.",1,0.06%
"sweet potato 14%",1,0.06%
"potato 14%",1,0.06%
"yeast hydrolsate",1,0.06%
"beta glucon",1,0.06%
"lamb meal 25%",1,0.06%
"salmon meal 3%",1,0.06%
"beef greaves meal 60%",1,0.06%
"beef carcass meal 16%",1,0.06%
"beef liver meal 3%",1,0.06%
"whole egg 1%",1,0.06%
"herb botanicals & superfood blend 1%",1,0.06%
"94% fresh fish",1,0.06%
"paprika.",1,0.06%
"pasture fed lamb 67%",1,0.06%
"seasonal vegetables 33%.",1,0.06%
"fresh chicken; turkey: dried turkey protein",1,0.06%
"turkey digest; poultry fat",1,0.06%
"poultry greaves protein",1,0.06%
"dried beef liver",1,0.06%
"fish oil. 30% from plant sources & minerals: pea starch",1,0.06%
"beef 3%",1,0.06%
"lamb 3%",1,0.06%
"white sweet potatoes 3%",1,0.06%
"66% goat",1,0.06%
"4% wild berries",1,0.06%
"antioxidants & preservatives.",1,0.06%
"hydrolysed soya protein isolate",1,0.06%
"chicken 16%",1,0.06%
"lamb 4%",1,0.06%
"barley 3%",1,0.06%
"cooked sweet potato 25%",1,0.06%
"salmon meal 25%",1,0.06%
"cooked potato flakes 24.1%",1,0.06%
"linseed oil 6.65%",1,0.06%
"fish meal 7.45%",1,0.06%
"salmon digest 3%",1,0.06%
"dried kale 2%",1,0.06%
"dried apple pomace 2%",1,0.06%
"chicory pulp 1.5%",1,0.06%
"1%",1,0.06%
"spirulina 1%",1,0.06%
"monocalcium phosphate 0.7%",1,0.06%
"green mussel powder 0.5%",1,0.06%
"choline chloride 0.1%.",1,0.06%
"beef tripe 22%",1,0.06%
"chicken 19%",1,0.06%
"turkey 14%",1,0.06%
"artificial beef flavour.",1,0.06%
"poultry meal 14%",1,0.06%
"methylsulfonylmethane fructooligosaccharides",1,0.06%
"freshly prepared aberdeen angus beef",1,0.06%
"british turkey drumstick 25%",1,0.06%
"venison trim 20%",1,0.06%
"whole rabbit 20%",1,0.06%
"british beef heart 5%",1,0.06%
"fresh seasonal vegetables",1,0.06%
"chicory inulin, yeasts, mint, yucca schidigera extract, cranberry extract, glucosamine, chondroitin sulphate, pomegranate extract, green tea extract.",1,0.06%
"45.4% fresh pork",1,0.06%
"25.4% fresh chicken meat",1,0.06%
"10.4% fresh whole fish",1,0.06%
"5.4% liver of fresh pork",1,0.06%
"1.7% beet pulp",1,0.06%
"1.5% brewer's yeast",1,0.06%
"1% banana",1,0.06%
"0.45% caraway",1,0.06%
"0.125% ginger.",1,0.06%
"cranberry 4%",1,0.06%
"parsnip 4%",1,0.06%
"glucosamine 50mg/kg",1,0.06%
"chondroitin 50mg/kg",1,0.06%
"dehydrated potato",1,0.06%
"dried blueberry, glucosamine, chondroitin, turmeric, dried spearmint.",1,0.06%
"whole atlantic herring 58.7%",1,0.06%
"white mushrooms 13%",1,0.06%
"organic sweet potato 8%",1,0.06%
"organic courgette 6%",1,0.06%
"organic red cabbage 6%. organic basil 3%. organic non-fortified nutritional yeast 2.2%",1,0.06%
"cooked blue mussels 1.3%",1,0.06%
"cooked oysters 1%",1,0.06%
"organic cold-pressed hempseed oil 0.70%",1,0.06%
"organic wheatgrass 0.15%",1,0.06%
"wild-grown seaweed 0.03%.",1,0.06%
"kidney",1,0.06%
"freshly prepared chicken 31%",1,0.06%
"dried chicken 21%",1,0.06%
"chicken stock 3%",1,0.06%
"fos 96 mg/kg",1,0.06%
"mos 24 mg/kg.",1,0.06%
"nz green lipped mussel",1,0.06%
"vitamin and mineral supplements",1,0.06%
"green tea extract. with antioxidant ec additives.",1,0.06%
"pre-cooked corn",1,0.06%
"haemoglobin powder",1,0.06%
"pre-cooked wheat",1,0.06%
"pre-cooked rice",1,0.06%
"cold pressed sunflower oil",1,0.06%
"cold pressed linseed oil",1,0.06%
"vitamins and trace elements.",1,0.06%
"insect 44%",1,0.06%
"limestone. *may contain gm material.",1,0.06%
"vegetable protein extract",1,0.06%
"algal oil schizochytrium sp. yucca schidigera juice",1,0.06%
"peas freshly prepared wild boar",1,0.06%
"glucosamine 177.5 mg/kg",1,0.06%
"methylsulfonylmethane 177.5 mg/kg",1,0.06%
"chondroitin sulphate 125 mg/kg",1,0.06%
"dried pear.",1,0.06%
"85% turkey and bone",1,0.06%
"turkey heart",1,0.06%
"beef green tripe",1,0.06%
"chia seeds.",1,0.06%
"hydrolysed chicken proteins",1,0.06%
"lamb 42%",1,0.06%
"44% chicken and turkey",1,0.06%
"white rice 12.0%",1,0.06%
"20% lamb protein",1,0.06%
"0.4% sunflower oil",1,0.06%
"salmon protein dried",1,0.06%
"hydrolysed protein from poultry",1,0.06%
"chicory powder 1%",1,0.06%
"soya protein isolate",1,0.06%
"sweet lupin flour 10%",1,0.06%
"green peas 10%",1,0.06%
"rice protein 7%",1,0.06%
"pea protein 7%",1,0.06%
"dried sweet potato 5%",1,0.06%
"peanut butter",1,0.06%
"yeast saccharomyces cerevisiae 1%",1,0.06%
"fermented rye 0.1%",1,0.06%
"dried algae seaweed",1,0.06%
"dried herbs and spices.",1,0.06%
"fish 36%",1,0.06%
"yucca 0.03%.",1,0.06%
"potato 19.5%",1,0.06%
"glucosamine 355 mg/kg",1,0.06%
"methylsulfonylmethane 355 mg/kg",1,0.06%
"chondroitin sulphate 250 mg/kg.",1,0.06%
"≪i>water</i>",1,0.06%
"organic brown rice flour ≪i></i>",1,0.06%
"chicken 39.3%",1,0.06%
"valerian root",1,0.06%
"skullcap",1,0.06%
"45.4% fresh chicken",1,0.06%
"3.5% carrot",1,0.06%
"1.2% apple",1,0.06%
"30% turkey",1,0.06%
"20% veal hearts",1,0.06%
"15% poultry",1,0.06%
"wholegrain cereals 55%",1,0.06%
"chicken and turkey 70%",1,0.06%
"juniper berries",1,0.06%
"angelica root",1,0.06%
"peppermint leaf",1,0.06%
"marigold flowers",1,0.06%
"globe artichoke leaf",1,0.06%
"pears",1,0.06%
"chicken 51%",1,0.06%
"fresh beef 60%",1,0.06%
"pre-soaked split red lentils",1,0.06%
"pre-soaked whole red lentils",1,0.06%
"ocean fish meal 48%",1,0.06%
"soya oil 1.7%",1,0.06%
"vitamin and minerals 1.25%",1,0.06%
"80% poultry meat and innards",1,0.06%
"10% carrots",1,0.06%
"4% sweet potatoes",1,0.06%
"celery root",1,0.06%
"ground pumpkin seeds",1,0.06%
"sea salt",1,0.06%
"yucca root extract.",1,0.06%
"mollusca",1,0.06%
"crustaceans.",1,0.06%
"deboned free range chicken meat 28.5%",1,0.06%
"dried chicken protein 21%",1,0.06%
"dried peas 11%",1,0.06%
"dried chickpeas 5%",1,0.06%
"freeze dried free range chicken 4%",1,0.06%
"dried pumpkinseed",1,0.06%
"dried broccoli 0.5%",1,0.06%
"dried apple 0.3%",1,0.06%
"turkey 31%",1,0.06%
"white rice 20%",1,0.06%
"freshly prepared trout 27%",1,0.06%
"dry salmon 23%",1,0.06%
"peas 19%",1,0.06%
"distillers maize grains",1,0.06%
"28% dried turkey",1,0.06%
"22% dried duck",1,0.06%
"18% sweet potato",1,0.06%
"5% salmon oil",1,0.06%
"3% carrot",1,0.06%
"3% tomato",1,0.06%
"chicory 1%",1,0.06%
"cranberry 0.1%",1,0.06%
"blueberry 0.1%",1,0.06%
"chicken 92%.",1,0.06%
"deboned chicken 27%",1,0.06%
"dried chicken 16%",1,0.06%
"deboned salmon 13%",1,0.06%
"dried white fish 7%",1,0.06%
"dried salmon 5%",1,0.06%
"dried turkey 4%",1,0.06%
"dried whole egg 2%",1,0.06%
"deboned white fish 2%",1,0.06%
"dried chicken protein 27%",1,0.06%
"dried chickpeas 4%",1,0.06%
"organic dried chicken",1,0.06%
"wild dried msc* herring",1,0.06%
"organic hydrolyzed liver",1,0.06%
"brewers yeast. *from an msc certified sustainable fishery.",1,0.06%
"atlantic fish meal",1,0.06%
"beef 8.5%",1,0.06%
"mixed fruits and vegetables",1,0.06%
"fructooligosaccharides mannanoligosaccharides",1,0.06%
"26% lamb",1,0.06%
"fresh turkey 42%",1,0.06%
"fresh duck 18%",1,0.06%
"peas 6.3%",1,0.06%
"yucca extract 0.06%",1,0.06%
"chicory root extract 0.05%.",1,0.06%
"potato flake 26.5%",1,0.06%
"pea starch 16.0%",1,0.06%
"poultry meal 14.0%",1,0.06%
"whole peas 5.0%",1,0.06%
"mixed peppers 4%",1,0.06%
"flax seed oil",1,0.06%
"fresh pork 56%",1,0.06%
"fresh chicken 39%",1,0.06%
"paprika",1,0.06%
"bay leaf",1,0.06%
"insect protein meal",1,0.06%
"insect oil",1,0.06%
"algae meal",1,0.06%
"sweet potato chips 25%",1,0.06%
"ground whole barley",1,0.06%
"wholegrain oats 15%",1,0.06%
"wholegrain rice 11%",1,0.06%
"chicken 74.7%",1,0.06%
"chicken liver 6%",1,0.06%
"spinach 0.25%",1,0.06%
"dried carrot 0.25%",1,0.06%
"methylsulfonylmethane 1000mg/kg.",1,0.06%
"4% legumes",1,0.06%
"vegetable glycerin",1,0.06%
"2.6% orygoformula.",1,0.06%
"chard",1,0.06%
"pepper",1,0.06%
"glucosamine 1000mg/kg",1,0.06%
"carnitine 125mg/kg",1,0.06%
"beetroot and rosemary 0.3%.",1,0.06%
"poultry meat meal 25%",1,0.06%
"sweet potato chips 21.4%",1,0.06%
"alfalfa 500mg/kg",1,0.06%
"ginger 100mg/kg",1,0.06%
"marigold 100mg/kg.",1,0.06%
"beef 57.5%",1,0.06%
"red freeze-dried pieces 1.5%",1,0.06%
"green freeze-dried pieces 1.5%",1,0.06%
"botanical blend 1.1%",1,0.06%
"fresh chicken meat 41%",1,0.06%
"poultry protein 12%",1,0.06%
"lamb protein 8%",1,0.06%
"dried fruits of the forest mixed berries 0.3%",1,0.06%
"yeast extract 0.2%",1,0.06%
"beef green tripe 15%",1,0.06%
"chicken heart 5%",1,0.06%
"45% british chicken meat",1,0.06%
"30% british pasture fed beef meat",1,0.06%
"10% british beef liver and kidney",1,0.06%
"10% seasonal british vegetables and berries",1,0.06%
"5% superfoods.",1,0.06%
"sweet potato 19%",1,0.06%
"chicken fat 11%",1,0.06%
"yeast extract 1%",1,0.06%
"cranberry 0.155%",1,0.06%
"fructo-oligosaccharides 0.15%",1,0.06%
"mannan-oligosaccharides 0.15%",1,0.06%
"glucosamine 0.15%",1,0.06%
"blackcurrant 0.01%",1,0.06%
"rosemary 0.005%",1,0.06%
"dried brown rice 26%",1,0.06%
"wholegrain cereals 54%",1,0.06%
"british & irish farmed meats 50%",1,0.06%
"swede 5%",1,0.06%
"hydrolysed yeast 0.05%",1,0.06%
"organic soy beans",1,0.06%
"organic wheat bran",1,0.06%
"organic white lupine",1,0.06%
"ec permitted antioxidant.",1,0.06%
"turkey 72%",1,0.06%
"cooked wholegrain rice 4%",1,0.06%
"glucosamine 250 mg/kg",1,0.06%
"goose",1,0.06%
"fructooligosaccharide",1,0.06%
"nettle.",1,0.06%
"poultry meat meal 28.5%",1,0.06%
"sweet potato chips",1,0.06%
"fennel.",1,0.06%
"ham",1,0.06%
"golden rod",1,0.06%
"celery seeds.",1,0.06%
"green-lipped mussel  extract",1,0.06%
"45% green lambs tripe",1,0.06%
"35% free range turkey with bone",1,0.06%
"grass fed beef 80%",1,0.06%
"seasonal vegetables 16%",1,0.06%
"pure olive oil 1%",1,0.06%
"scottish kelp 1%",1,0.06%
"organic turmeric 0.3%",1,0.06%
"organic ginger 0.1%",1,0.06%
"spirulina 0.05%",1,0.06%
"minerals 0.04%",1,0.06%
"organic ground black pepper 0.03%.",1,0.06%
"freshly prepared scottish salmon",1,0.06%
"cranberry chamomile",1,0.06%
"dried algae.",1,0.06%
"sunflower expellers",1,0.06%
"chicory root extract, yucca extract.",1,0.06%
"beef 42%",1,0.06%
"tripe 22%",1,0.06%
"superfoods 7%",1,0.06%
"free range chicken",1,0.06%
"free range chicken liver",1,0.06%
"vegetable oil glycerine",1,0.06%
"fermented whey",1,0.06%
"dental seaweed ascophyllum nodosum",1,0.06%
"joint care package.",1,0.06%
"chicken liver hydrolysate",1,0.06%
"taurine and beta-carotene.",1,0.06%
"45% chicken with bone",1,0.06%
"20% beef heart",1,0.06%
"15% mackerel",1,0.06%
"5% beef kidney",1,0.06%
"brown rice 43%",1,0.06%
"chicken meal 23%",1,0.06%
"0.5% dried apples",1,0.06%
"slippery elm 0.1%.",1,0.06%
"dehydrated chicken meat 25%",1,0.06%
"chicken oil 10%",1,0.06%
"dehydrated salmon 3%",1,0.06%
"chicken liver hydrolysate 3%",1,0.06%
"yeast extract 3%",1,0.06%
"beet pulp 2.8%",1,0.06%
"dehydrated whole egg 0.3%",1,0.06%
"dried chicory root 0.1%",1,0.06%
"mannan oligosaccharide 0.1%",1,0.06%
"yucca 0.125%",1,0.06%
"beef white tripe",1,0.06%
"4% blackberries",1,0.06%
"19% organic dried chicken",1,0.06%
"4% wild dried msc herring",1,0.06%
"organic brewers yeast.",1,0.06%
"prebiotic fructo-oligosaccharide",1,0.06%
"chicken 70%",1,0.06%
"seasonal vegetables 30%.",1,0.06%
"apples dried",1,0.06%
"crustacean shells",1,0.06%
"herbs &amp; fruit",1,0.06%
"fructo- oligosaccharides",1,0.06%
"chamomile dried",1,0.06%
"blueberries dried.",1,0.06%
"0.4% salmon oil",1,0.06%
"26% meat meals",1,0.06%
"39% salmon",1,0.06%
"raw whole mackerel",1,0.06%
"dehydrated whitefish",1,0.06%
"50% trout",1,0.06%
"trout oil 3.5%), sweet potato, chickpeas, lentils, peas, beet pulp, salmon gravy, minerals, brewers yeast, salmon oil, dried seaweed, chondroitin sulphate, glucosamine, fructooligosaccharides, mannanoligosaccharides.",1,0.06%
"32% lamb",1,0.06%
"0.1% grapeseed oil.",1,0.06%
"chicken 55.0%",1,0.06%
"peas 3% mixed herbs 0.5%",1,0.06%
"salmon oil 0.35%",1,0.06%
"95% turkey",1,0.06%
"brewer's rice.",1,0.06%
"dried carrots 1%",1,0.06%
"cranberries 0.5%",1,0.06%
"provence herbs.",1,0.06%
"dried chicken and turkey 26%",1,0.06%
"lamb 30%",1,0.06%
"sweet potatoes 3%",1,0.06%
"beans 2%",1,0.06%
"green-lipped mussel.",1,0.06%
"26% poultry protein",1,0.06%
"freshly prepared trout 18%",1,0.06%
"freshly prepared salmon 17%",1,0.06%
"freshly prepared white fish 11%",1,0.06%
"dehydrated salmon 8%",1,0.06%
"tapioca 4%",1,0.06%
"freshly prepared tuna 4%",1,0.06%
"dehydrated white fish 4%",1,0.06%
"pea fibre 2%",1,0.06%
"salmon stock 1%",1,0.06%
"prebiotic fos 460mg/kg",1,0.06%
"dried bilberry.",1,0.06%
"fish derivatives",1,0.06%
"duck 40.3%",1,0.06%
"dried chicory 0.5%",1,0.06%
"dried chicken protein 23%",1,0.06%
"dried sweet potato 7%",1,0.06%
"duck 40%",1,0.06%
"fresh duck 15%",1,0.06%
"beef muscle meat",1,0.06%
"beef kidneys",1,0.06%
"chicory 0.13%",1,0.06%
"dried orange pulp",1,0.06%
"dried chicken & turkey 19%",1,0.06%
"sprayed dried chicken meal",1,0.06%
"beef meal 26%",1,0.06%
"chicken digest 4%",1,0.06%
"unmolassed beef pulp",1,0.06%
"35.4% fresh chicken meat",1,0.06%
"20.4% fresh whole fish",1,0.06%
"15.2% fresh pork meat",1,0.06%
"1.5% pumpkin",1,0.06%
"1.5% banana",1,0.06%
"0.45% pineapple",1,0.06%
"0.125% ginger",1,0.06%
"chicken with bone 70%",1,0.06%
"butternut squash 3%",1,0.06%
"beef heart 2.5%",1,0.06%
"beef fat 2.5%",1,0.06%
"sea kelp 0.2%",1,0.06%
"ginger 0.2%.",1,0.06%
"whole linseed.",1,0.06%
"tomatoes 1%",1,0.06%
"rice 7%",1,0.06%
"70% beef tripe",1,0.06%
"20% organic chicken meat with bone",1,0.06%
"80% free range turkey with bone",1,0.06%
"10% green lambs tripe",1,0.06%
"60% white fish",1,0.06%
"15% tripe",1,0.06%
"4.5% hydrolysed starch",1,0.06%
"1.5% carrot",1,0.06%
"1.5% apple",1,0.06%
"free-run chicken 80%",1,0.06%
"carrot 4.5%",1,0.06%
"pea 3%",1,0.06%
"blackberry 2%.",1,0.06%
"fats and oils",1,0.06%
"dried and ground chicken meat",1,0.06%
"ground whole-grain rice",1,0.06%
"maize germ expeller",1,0.06%
"dried and ground north sea salmon",1,0.06%
"dried and ground potato",1,0.06%
"liver meal",1,0.06%
"powdered mineral clay",1,0.06%
"diatomaceous earth",1,0.06%
"mussel meat extract from perna canaliculus [new zealand green lipped mussel]",1,0.06%
"dried and ground yucca schidigera.",1,0.06%
"lamb 41% whole barley 26%",1,0.06%
"whole oats 15%",1,0.06%
"whole brown rice 13%.

fruits",1,0.06%
"botanicals & herbs: linseed",1,0.06%
"tomato.",1,0.06%
"freshly prepared insect 58%",1,0.06%
"brewers yeast 1.5%",1,0.06%
"minerals 0.2%",1,0.06%
"turkey 36.5%",1,0.06%
"65% turkey & pork",1,0.06%
"prebiotic fructooligosaccharide",1,0.06%
"96% fresh pork",1,0.06%
"collagen.",1,0.06%
"organic beef",1,0.06%
"organic spelt",1,0.06%
"white rice 23.0%",1,0.06%
"duck meal 15.5%",1,0.06%
"salmon meal 45%",1,0.06%
"fresh pork 12%",1,0.06%
"fresh chicken 8%",1,0.06%
"fresh pork liver 4%",1,0.06%
"dried chicken 41%",1,0.06%
"pre gelatinised rice 26%",1,0.06%
"sweet potato 15%",1,0.06%
"flaked potato 8%",1,0.06%
"brewers yeast 4%",1,0.06%
"carrot 1%",1,0.06%
"tomato 1%.",1,0.06%
"barley 27%",1,0.06%
"oats 13%",1,0.06%
"dehydrated pork",1,0.06%
"dried ground brown rice",1,0.06%
"dried ground parsnips",1,0.06%
"dried ground sea algae",1,0.06%
"dried ground apples",1,0.06%
"dried ground pears",1,0.06%
"dried ground courgette",1,0.06%
"dried ground herbal blend",1,0.06%
"dried ground blueberries",1,0.06%
"ground egg yolk",1,0.06%
"green mineral clay.",1,0.06%
"salmon 51%",1,0.06%
"lamb meal 24%",1,0.06%
"salmon meal 6%",1,0.06%
"meat and animal derivatives 44%",1,0.06%
"dehydrated beef meat",1,0.06%
"chicory inulin. total meat content 25%.",1,0.06%
"maize gluten meal.",1,0.06%
"hi-pro soya",1,0.06%
"dried chicory.",1,0.06%
"glucosomine  chondroitin",1,0.06%
"freshly prepared salmon 61.5%",1,0.06%
"dehydrated salmon 14%",1,0.06%
"tapioca 6%",1,0.06%
"salmon stock 1.5%",1,0.06%
"vegetables. chicken and turkey meal",1,0.06%
"28% poultry protein",1,0.06%
"52% fresh duck",1,0.06%
"white fish 33.5%",1,0.06%
"white rice 16%",1,0.06%
"barley 12%",1,0.06%
"insect 30%",1,0.06%
"sweet potato 17.5%",1,0.06%
"potato protein 8.9%",1,0.06%
"whole lentils 8.9%",1,0.06%
"pea protein 4.9%",1,0.06%
"sunflower oil 4%",1,0.06%
"sugar beet 3%",1,0.06%
"vegetable digest 3%",1,0.06%
"whole linseed 2%",1,0.06%
"dicalcium phosphate 1.3%",1,0.06%
"grub club superfood blend 0.25%",1,0.06%
"seaweed meal 0.2%",1,0.06%
"dried broccoli 0.1%",1,0.06%
"dried parsley 0.1%",1,0.06%
"dried oregano 0.05%",1,0.06%
"dried thyme 0.05%",1,0.06%
"dried fennel 0.05%",1,0.06%
"manna oligosaccharides 0.2%",1,0.06%
"yucca schidigera extract 0.025%",1,0.06%
"msm 400mg/kg",1,0.06%
"chicory root extract, yucca schidigera.",1,0.06%
"venison 80%",1,0.06%
"blueberries 4%",1,0.06%
"swede 3%",1,0.06%
"apples 3%",1,0.06%
"seaweed 1.5%",1,0.06%
"spinach 1.5%",1,0.06%
"sunflower oil 1%",1,0.06%
"freshly prepared: turkey 60%",1,0.06%
"green peas 5%",1,0.06%
"fresh chicken 80%",1,0.06%
"chickpea 6.5%",1,0.06%
"parsnips 4%",1,0.06%
"chicken 56.5%",1,0.06%
"beef 64%",1,0.06%
"probiotics: contains e1705 enterococcus faecium cernelle 68 sf68 ncimb 10415.",1,0.06%
"yucca extract. total turkey min.",1,0.06%
"starch",1,0.06%
"burnt sugar",1,0.06%
"fresh skinless chicken leg 23%",1,0.06%
"fresh chicken gizzard 22%",1,0.06%
"fresh chicken heart 15%",1,0.06%
"fresh sweet potato 12%",1,0.06%
"fresh red pepper 9.05%",1,0.06%
"fresh spinach leaf 5.4%",1,0.06%
"pre-soaked white quinoa 4.8%",1,0.06%
"cold-pressed rosemary-infused sunflower oil 4%",1,0.06%
"cold-pressed organic hempseed oil 1.2%",1,0.06%
"vitamins and minerals 1%",1,0.06%
"psyllium husk powder 0.35%",1,0.06%
"herbs and botanicals 0.3%",1,0.06%
"taurine 0.25%",1,0.06%
"spinach powder 0.17%",1,0.06%
"green lipped mussel powder 0.11%",1,0.06%
"beta glucans 0.06%",1,0.06%
"omega 3 powder 0.06%",1,0.06%
"l-carnitine powder 0.05%",1,0.06%
"e faecium 0.0023%",1,0.06%
"egg shell membrane 0.00013%.",1,0.06%
"quercetin grape seed extract",1,0.06%
"fresh chicken giblets 9%",1,0.06%
"raw freshwater lake fish 6%",1,0.06%
"freeze-dried chicken and liver",1,0.06%
"fructo oligosaccharides 0.01%.",1,0.06%
"fish flour 24%",1,0.06%
"glucosamine-hcl0.01%",1,0.06%
"mixed herbs 0.5% sunflower oil 0.1%",1,0.06%
"probiotic mannan-oligosaccharides 0.01%",1,0.06%
"seaweed 0.006%",1,0.06%
"glucosamine 0.004%",1,0.06%
"yucca extract 0.002%",1,0.06%
"cranberry extract 0.002%",1,0.06%
"yeast extract 0.001%.",1,0.06%
"mixed berries",1,0.06%
"wild caught whole herring meal 79%",1,0.06%
"93% fresh fish",1,0.06%
"chicory inulin, potassium chloride, yeasts, marigold meal, carrots, broccoli, glucosamine, chondroitin sulphate, yucca schidigera extract, cranberry extract, pomegranate extract, green tea extract.",1,0.06%
"seasonal green vegetables",1,0.06%
"fresh chicken 14%",1,0.06%
"whole peas 10%",1,0.06%
"split peas",1,0.06%
"blueberry 0.01%",1,0.06%
"sweet potato 0.01%",1,0.06%
"carrot 0.01%",1,0.06%
"spinach 0.01%",1,0.06%
"green peas 0.01%",1,0.06%
"apple 0.01%",1,0.06%
"turmeric 0.01%",1,0.06%
"althea",1,0.06%
"peppermint 0.01%",1,0.06%
"meat meal 26%",1,0.06%
"dried yucca.",1,0.06%
"botanical herbs 0.2%",1,0.06%
"mango 0.04%",1,0.06%
"blueberries 0.04%",1,0.06%
"apples 0.04%",1,0.06%
"strawberries 0.04%",1,0.06%
"carrots 0.04%",1,0.06%
"tomatoes 0.04%.",1,0.06%
"poultry meat meal 6.5%",1,0.06%
"turkey 47.3%",1,0.06%
"poultry fat 4%",1,0.06%
"fresh ocean white fish",1,0.06%
